transaction_id,customer_id,transaction_date,amount,transaction_type,merchant_category
1,5195,2021-05-21,863.62,Debit,Grocery
2,5195,2022-01-10,4128.54,Payment,Entertainment
3,5195,2022-11-08,1218.83,Debit,Dining
4,5195,2021-10-05,929.71,Debit,Grocery
5,5195,2021-06-07,14382.89,Credit,Utilities
6,5195,2022-05-09,500.65,Debit,Grocery
7,5195,2023-03-17,400.06,Debit,Entertainment
8,5195,2021-10-24,6158.34,Credit,Dining
9,5195,2022-04-12,375.11,Debit,Dining
10,5195,2023-05-10,400.3,Debit,Dining
11,5195,2023-01-13,359.73,Debit,Online Shopping
12,5195,2022-10-28,280.77,Debit,Grocery
13,5195,2022-04-07,890.64,Debit,Entertainment
14,5195,2023-02-09,1150.63,Debit,Utilities
15,5195,2021-11-24,2878.15,Payment,Online Shopping
16,5195,2022-02-08,2484.19,Debit,Fuel
17,5195,2023-04-04,2055.98,Payment,Dining
18,5195,2022-09-14,359.32,Debit,Healthcare
19,5195,2022-12-12,13443.55,Credit,Utilities
20,5195,2022-04-13,2404.65,Debit,Fuel
21,5195,2022-11-30,14557.19,Credit,Dining
22,5195,2023-06-27,421.99,Transfer,Online Shopping
23,5195,2022-03-09,1501.5,Debit,Grocery
24,5195,2021-08-27,566.14,Debit,Utilities
25,5195,2023-04-07,21911.26,Credit,Fuel
26,5195,2021-12-15,1621.8,Debit,Healthcare
27,5195,2021-05-31,1868.8,Debit,Utilities
28,5195,2023-04-18,1175.89,Payment,Fuel
29,5195,2021-10-02,137.72,Debit,Healthcare
30,5150,2023-06-26,1413.62,Credit,Entertainment
31,5150,2023-06-20,54.46,Debit,Entertainment
32,5150,2022-09-26,1974.96,Payment,Grocery
33,5150,2022-01-20,1918.75,Payment,Grocery
34,5150,2021-12-09,2709.15,Debit,Grocery
35,5150,2022-04-15,232.51,Debit,Online Shopping
36,5150,2023-06-26,131.82,Debit,Online Shopping
37,5150,2021-01-19,3419.32,Debit,Dining
38,5150,2022-05-22,9602.73,Credit,Online Shopping
39,5150,2022-09-24,128.51,Debit,Entertainment
40,5150,2023-01-26,239.32,Debit,Entertainment
41,5150,2021-12-13,5275.36,Payment,Education
42,5150,2023-02-05,2131.06,Debit,Healthcare
43,5150,2022-01-11,8690.89,Credit,Healthcare
44,5150,2023-05-10,7335.89,Payment,Grocery
45,5150,2022-07-23,235.89,Debit,Dining
46,5150,2021-09-23,224.96,Debit,Entertainment
47,5150,2021-03-09,86.74,Debit,Online Shopping
48,5150,2021-08-25,1032.85,Debit,Entertainment
49,5150,2021-02-10,760.73,Debit,Dining
50,5150,2023-03-01,394.57,Debit,Entertainment
51,5150,2021-09-07,128.84,Debit,Healthcare
52,5150,2023-05-29,5109.94,Credit,Online Shopping
53,5150,2021-02-04,64.9,Debit,Online Shopping
54,5150,2023-03-05,477.06,Transfer,Utilities
55,5150,2021-06-21,3429.32,Credit,Online Shopping
56,5150,2021-02-24,437.4,Debit,Grocery
57,5150,2021-02-21,1413.39,Debit,Dining
58,5150,2021-08-27,20267.27,Credit,Online Shopping
59,5150,2021-12-10,2265.66,Payment,Grocery
60,5150,2023-01-25,1515.97,Debit,Dining
61,5150,2022-03-01,1305.99,Debit,Education
62,5150,2021-03-02,5411.7,Credit,Online Shopping
63,5150,2022-06-17,192.13,Transfer,Grocery
64,5150,2023-05-20,598.46,Debit,Fuel
65,5150,2021-09-23,7492.99,Payment,Online Shopping
66,5150,2023-04-27,64.89,Debit,Grocery
67,5150,2022-06-26,5904.09,Debit,Grocery
68,5150,2022-09-24,4776.93,Payment,Online Shopping
69,5150,2022-04-10,2824.39,Credit,Dining
70,5150,2021-10-27,1612.53,Payment,Education
71,5150,2023-06-05,89.06,Transfer,Grocery
72,5150,2022-10-07,178.61,Debit,Utilities
73,5150,2021-01-08,4664.9,Payment,Education
74,5701,2022-06-17,620.82,Debit,Entertainment
75,5701,2022-04-05,1954.42,Transfer,Healthcare
76,5701,2022-07-13,1239.21,Debit,Grocery
77,5701,2021-11-02,1721.17,Transfer,Online Shopping
78,5701,2021-01-06,238.59,Transfer,Online Shopping
79,5701,2021-12-09,140.55,Debit,Grocery
80,5701,2022-02-03,80.68,Transfer,Online Shopping
81,5701,2022-12-26,272.86,Transfer,Grocery
82,5701,2023-05-11,2687.72,Payment,Grocery
83,5701,2022-06-07,1325.35,Payment,Entertainment
84,5701,2021-09-11,383.27,Transfer,Dining
85,5653,2023-01-01,3249.82,Payment,Online Shopping
86,5653,2021-12-21,4102.82,Payment,Utilities
87,5653,2022-02-18,6832.07,Credit,Entertainment
88,5653,2023-05-26,262.96,Debit,Online Shopping
89,5653,2023-04-29,165.61,Debit,Online Shopping
90,5653,2023-06-05,576.71,Debit,Dining
91,5653,2021-09-19,428.37,Debit,Grocery
92,5653,2022-06-09,1772.77,Payment,Grocery
93,5653,2021-11-21,106.53,Debit,Online Shopping
94,5653,2021-10-09,1531.98,Payment,Entertainment
95,5653,2021-11-07,12792.28,Credit,Utilities
96,5653,2022-06-20,6164.68,Payment,Education
97,5653,2021-08-10,7072.65,Payment,Utilities
98,5653,2023-05-20,155.86,Debit,Education
99,5653,2022-08-09,98.22,Debit,Utilities
100,5653,2022-05-27,2565.89,Transfer,Dining
101,5653,2021-10-04,4716.76,Credit,Utilities
102,5653,2022-07-30,2956.82,Payment,Online Shopping
103,5653,2023-03-25,3112.4,Payment,Grocery
104,5653,2023-04-16,1779.43,Debit,Grocery
105,5653,2021-08-08,4894.34,Credit,Online Shopping
106,5653,2022-02-26,2195.76,Credit,Utilities
107,5653,2021-07-23,7767.61,Credit,Entertainment
108,5653,2021-05-12,2708.6,Payment,Dining
109,5653,2021-02-25,221.96,Debit,Fuel
110,5653,2023-01-13,3715.24,Credit,Utilities
111,5653,2023-04-12,500.35,Debit,Healthcare
112,5653,2022-02-19,897.09,Transfer,Healthcare
113,5653,2022-09-11,360.67,Debit,Dining
114,5653,2022-09-27,708.94,Debit,Grocery
115,5653,2021-11-15,255.07,Debit,Entertainment
116,5653,2021-02-26,437.33,Debit,Entertainment
117,5653,2021-04-26,3542.5,Debit,Healthcare
118,5653,2022-02-19,924.68,Debit,Fuel
119,5653,2022-06-21,179.71,Debit,Online Shopping
