app_id,snapshot_month,outstanding_balance,dpd,payment_amount,default_flag
10002,2023-06-30,93092.22,0,4514.03,0
10002,2023-07-31,89775.57,0,4286.36,0
10002,2023-08-31,86464.29,45,4246.44,0
10002,2023-09-30,83047.66,45,4317.3,0
10002,2023-10-31,79580.46,15,4332.28,0
10002,2023-11-30,75916.75,0,4492.68,0
10003,2022-11-30,31420.15,15,1019.85,0
10003,2022-12-31,30869.09,30,983.09,0
10003,2023-01-31,30316.65,15,976.89,0
10003,2023-02-28,29762.11,5,971.39,0
10003,2023-03-31,29187.05,5,984.29,0
10003,2023-04-30,28657.29,30,931.08,0
10003,2023-05-31,28025.63,30,1025.7,0
10003,2023-06-30,27427.58,10,983.4,0
10003,2023-07-31,26872.38,15,932.33,0
10003,2023-08-31,26255.3,5,986.58,0
10003,2023-09-30,25644.68,0,971.63,0
10003,2023-10-31,25066.05,0,931.24,0
10003,2023-11-30,24391.43,45,1019.28,0
10005,2022-12-31,75046.58,10,2351.34,0
10005,2023-01-31,73380.6,0,2447.71,0
10005,2023-02-28,71746.46,10,2398.52,0
10005,2023-03-31,70071.32,0,2422.5,0
10005,2023-04-30,68494.85,5,2306.38,0
10005,2023-05-31,66855.06,15,2353.28,0
10005,2023-06-30,65183.9,10,2367.57,0
10005,2023-07-31,63564.1,10,2298.8,0
10005,2023-08-31,61869.22,0,2357.0,0
10005,2023-09-30,60234.77,15,2278.92,0
10005,2023-10-31,58605.13,0,2257.09,0
10005,2023-11-30,58075.78,35,1139.82,0
10008,2022-12-31,71119.12,30,7390.28,0
10008,2023-01-31,65073.49,45,7065.0,0
10008,2023-02-28,58809.88,5,7196.33,0
10008,2023-03-31,52839.48,0,6813.35,0
10008,2023-04-30,46214.87,15,7381.97,0
10008,2023-05-31,39733.61,0,7143.67,0
10008,2023-06-30,33009.23,30,7293.9,0
10008,2023-07-31,26178.45,15,7303.91,0
10008,2023-08-31,19631.46,0,6922.22,0
10008,2023-09-30,12797.14,0,7115.7,0
10008,2023-10-31,5558.86,10,7421.71,0
10008,2023-11-30,0.0,0,6803.85,0
10009,2021-04-30,44316.49,0,4622.58,0
10009,2021-05-31,40665.79,15,4330.22,0
10009,2021-06-30,36711.3,0,4578.03,0
10009,2021-07-31,32664.26,5,4609.94,0
10009,2021-08-31,28637.62,45,4527.5,0
10009,2021-09-30,24777.1,10,4299.63,0
10009,2021-10-31,20812.02,0,4344.99,0
10009,2021-11-30,16917.9,5,4213.24,0
10009,2021-12-31,12612.53,30,4564.78,0
